
---	Treino para o 0-fold	---
Epochs        10900. Current error: 0.0017641548. Bit fail 0.
Epochs        11000. Current error: 0.0017641927. Bit fail 0.
Epochs        11100. Current error: 0.0017641835. Bit fail 0.
Epochs        11200. Current error: 0.0017640897. Bit fail 0.
Epochs        11300. Current error: 0.0017640698. Bit fail 0.
Epochs        11400. Current error: 0.0017641180. Bit fail 0.
Epochs        11500. Current error: 0.0017642396. Bit fail 0.
Epochs        11600. Current error: 0.0017641260. Bit fail 0.
Epochs        11700. Current error: 0.0017642610. Bit fail 0.
Epochs        11800. Current error: 0.0017643267. Bit fail 0.
Epochs        11900. Current error: 0.0017643020. Bit fail 0.
Epochs        12000. Current error: 0.0017642940. Bit fail 0.
Epochs        12100. Current error: 0.0017642629. Bit fail 0.
Epochs        12200. Current error: 0.0017642151. Bit fail 0.
Epochs        12300. Current error: 0.0017642697. Bit fail 0.
Epochs        12400. Current error: 0.0017643454. Bit fail 0.
Epochs        12500. Current error: 0.0017643413. Bit fail 0.
Epochs        12600. Current error: 0.0017643931. Bit fail 0.
Epochs        12700. Current error: 0.0017643969. Bit fail 0.
Epochs        12800. Current error: 0.0017644257. Bit fail 0.
Epochs        12900. Current error: 0.0017644411. Bit fail 0.
Epochs        13000. Current error: 0.0017643743. Bit fail 0.
Epochs        13100. Current error: 0.0017644154. Bit fail 0.
Epochs        13200. Current error: 0.0017644182. Bit fail 0.
Epochs        13300. Current error: 0.0017643865. Bit fail 0.
Epochs        13400. Current error: 0.0017643588. Bit fail 0.
Epochs        13500. Current error: 0.0017643650. Bit fail 0.
Epochs        13600. Current error: 0.0017644647. Bit fail 0.
Epochs        13700. Current error: 0.0017644791. Bit fail 0.
Epochs        13800. Current error: 0.0017645858. Bit fail 0.
Epochs        13900. Current error: 0.0017645305. Bit fail 0.
Epochs        14000. Current error: 0.0017645445. Bit fail 0.
Epochs        14100. Current error: 0.0017645721. Bit fail 0.
Epochs        14200. Current error: 0.0017645796. Bit fail 0.
Epochs        14300. Current error: 0.0017645804. Bit fail 0.
Epochs        14400. Current error: 0.0017645590. Bit fail 0.
Epochs        14500. Current error: 0.0017645402. Bit fail 0.
Epochs        14600. Current error: 0.0017645247. Bit fail 0.
Epochs        14700. Current error: 0.0017644939. Bit fail 0.
Epochs        14800. Current error: 0.0017645191. Bit fail 0.
Epochs        14900. Current error: 0.0017644254. Bit fail 0.
Epochs        15000. Current error: 0.0017643727. Bit fail 0.
Epochs        15100. Current error: 0.0017644737. Bit fail 0.
Epochs        15200. Current error: 0.0017643842. Bit fail 0.
Epochs        15300. Current error: 0.0017643877. Bit fail 0.
Epochs        15400. Current error: 0.0017643129. Bit fail 0.
Epochs        15500. Current error: 0.0017643209. Bit fail 0.
Epochs        15600. Current error: 0.0017643393. Bit fail 0.
Epochs        15700. Current error: 0.0017643417. Bit fail 0.
Epochs        15800. Current error: 0.0017643344. Bit fail 0.
Epochs        15900. Current error: 0.0017643009. Bit fail 0.
Epochs        16000. Current error: 0.0017642645. Bit fail 0.
Epochs        16100. Current error: 0.0017642581. Bit fail 0.
Epochs        16200. Current error: 0.0017641929. Bit fail 0.
Epochs        16300. Current error: 0.0017642300. Bit fail 0.
Epochs        16400. Current error: 0.0017641799. Bit fail 0.
Epochs        16500. Current error: 0.0017642298. Bit fail 0.
Epochs        16600. Current error: 0.0017641995. Bit fail 0.
Epochs        16700. Current error: 0.0017641389. Bit fail 0.
Epochs        16800. Current error: 0.0017641422. Bit fail 0.
Epochs        16900. Current error: 0.0017640775. Bit fail 0.
Epochs        17000. Current error: 0.0017641562. Bit fail 0.
Epochs        17100. Current error: 0.0017640643. Bit fail 0.
Epochs        17200. Current error: 0.0017640643. Bit fail 0.
Epochs        17300. Current error: 0.0017640078. Bit fail 0.
Epochs        17400. Current error: 0.0017640879. Bit fail 0.
Epochs        17500. Current error: 0.0017640112. Bit fail 0.
